"id","role","location","featured","page_title","meta_description","meta_keywords","image","header","paragraph","paragraph2","paragraph3","paragraph4","paragraph5","paragraph6","paragraph7","paragraph8","paragraph9","paragraph10"
"11","Engineering","UK","0","Engineering Recruitment Agency UK | JobContax","Jobcontax is a specialist Engineering recruitment agency with operations in the UK",,NULL,"Engineering Recruitment Agency UK","JobContax is a specialist recruitment company in the Construction sector.<br>
JobContax has recruited for Engineering & Design companies in the UK since 2001.<br>
JobContax clients include Amec, Amgen, BHP Billiton, Carillion, Coca Cola, Emaar, GSK, Habtoor Leighton, Intel, Jacobs Engineering, J&J, Pfizer, Saint Gobain, Shell and many more.<br>",,,,,,,,,
"12","Construction","Africa","0","Construction Recruitment Agency Africa | JobContax","Jobcontax is a specialist Construction recruitment agency with operations in Africa",,NULL,"Construction Recruitment Agency Africa","JobContax is a specialist recruitment company in the Construction sector.<br>
JobContax has recruited for construction companies in Africa since 2001.<br>
JobContax clients include Amec, Amgen, BHP Billiton, Carillion, Coca Cola, Emaar, GSK, Habtoor Leighton, Intel, Jacobs Engineering, J&J, Pfizer, Saint Gobain, Shell and many more.<br>",,,,,,,,,
"13","Engineering","Africa","0","Engineering Recruitment Agency Africa | JobContax","Jobcontax is a specialist Engineering recruitment agency with operations in Africa",,NULL,"Engineering Recruitment Agency Africa","JobContax is a specialist recruitment company in the Engineering & Design sector.<br>
JobContax has recruited for Engineering & Design companies in Africa since 2001.<br>
JobContax clients include Amec, Amgen, BHP Billiton, Carillion, Coca Cola, Emaar, GSK, Habtoor Leighton, Intel, Jacobs Engineering, J&J, Pfizer, Saint Gobain, Shell and many more.<br>",,,,,,,,,
"14","Construction","China","0","Construction Recruitment Agency China | JobContax","Jobcontax is a specialist Construction recruitment agency with operations in China",,NULL,"Construction Recruitment Agency China","JobContax is a specialist recruitment company in the Construction sector.<br>
JobContax has recruited for construction companies in China since 2001.<br>
JobContax clients include Amec, Amgen, BHP Billiton, Carillion, Coca Cola, Emaar, GSK, Habtoor Leighton, Intel, Jacobs Engineering, J&J, Pfizer, Saint Gobain, Shell and many more.<br>",,,,,,,,,
"15","Engineering","China","0","Engineering Recruitment Agency China | JobContax","Jobcontax is a specialist Engineering recruitment agency with operations in China",,NULL,"Engineering Recruitment Agency China","JobContax is a specialist recruitment company in the Engineering & Design sector.<br>
JobContax has recruited for Engineering & Design companies in China since 2001.<br>
JobContax clients include Amec, Amgen, BHP Billiton, Carillion, Coca Cola, Emaar, GSK, Habtoor Leighton, Intel, Jacobs Engineering, J&J, Pfizer, Saint Gobain, Shell and many more.<br>",,,,,,,,,
"16","Lineman","Canada","0","Lineman Recruitment Agency Canada | JobContax","Jobcontax is a specialist Lineman recruitment agency with operations in Canada",,NULL,"Lineman Recruitment Agency Canada","JobContax is a specialist recruitment company in the Lineman sector.<br>
JobContax has recruited for Lineman companies in Canada since 2001.<br>
JobContax clients include Amec, Amgen, BHP Billiton, Carillion, Coca Cola, Emaar, GSK, Habtoor Leighton, Intel, Jacobs Engineering, J&J, Pfizer, Saint Gobain, Shell and many more.<br>",,,,,,,,,
"17","Lineman","UK","0","Lineman Recruitment Agency UK | JobContax","Jobcontax is a specialist Lineman recruitment agency with operations in the UK",,NULL,"Lineman Recruitment Agency UK","JobContax is a specialist recruitment company in the Construction sector.<br>
JobContax has recruited for construction companies in Ireland since 2001.<br>
JobContax clients include Amec, Amgen, BHP Billiton, Carillion, Coca Cola, Emaar, GSK, Habtoor Leighton, Intel, Jacobs Engineering, J&J, Pfizer, Saint Gobain, Shell and many more.<br>",,,,,,,,,
"18","Lineman","Australia","0","Lineman Recruitment Agency Australia | JobContax","Jobcontax is a specialist Lineman recruitment agency with operations in Australia",,NULL,"Lineman Recruitment Agency Australia","JobContax is a specialist recruitment company in the Lineman sector.<br>
JobContax has recruited for Lineman companies in Australia since 2001.<br>
JobContax clients include Amec, Amgen, BHP Billiton, Carillion, Coca Cola, Emaar, GSK, Habtoor Leighton, Intel, Jacobs Engineering, J&J, Pfizer, Saint Gobain, Shell and many more.<br>",,,,,,,,,
"19","Manufacturing","China","0","Manufacturing Recruitment Agency China | JobContax","Jobcontax is a specialist Manufacturing recruitment agency with operations in China",,NULL,"Manufacturing Recruitment Agency China","JobContax is a specialist recruitment company in the Manufacturing sector.<br>
JobContax has recruited for Manufacturing companies in China since 2001.<br>
JobContax clients include Amec, Amgen, BHP Billiton, Carillion, Coca Cola, Emaar, GSK, Habtoor Leighton, Intel, Jacobs Engineering, J&J, Pfizer, Saint Gobain, Shell and many more.<br>",,,,,,,,,
"20","Life Sciences","China","0","Life Sciences Recruitment Agency China | JobContax","Jobcontax is a specialist Life Sciences recruitment agency with operations in China",,NULL,"Life Sciences Recruitment Agency China","JobContax is a specialist recruitment company in the Life Sciences sector.<br>
JobContax has recruited for Life Sciences companies in China since 2001.<br>
JobContax clients include Amec, Amgen, BHP Billiton, Carillion, Coca Cola, Emaar, GSK, Habtoor Leighton, Intel, Jacobs Engineering, J&J, Pfizer, Saint Gobain, Shell and many more.<br>",,,,,,,,,
"21","Manufacturing","UK","0","Manufacturing Recruitment Agency UK | JobContax","Jobcontax is a specialist Manufacturing recruitment agency with operations in the UK",,NULL,"Manufacturing Recruitment Agency UK","JobContax is a specialist recruitment company in the Manufacturing sector.<br>
JobContax has recruited for Manufacturing companies in the UK since 2001.<br>
JobContax clients include Amec, Amgen, BHP Billiton, Carillion, Coca Cola, Emaar, GSK, Habtoor Leighton, Intel, Jacobs Engineering, J&J, Pfizer, Saint Gobain, Shell and many more.<br>",,,,,,,,,
"22","Life Sciences","UK","0","Life Sciences Recruitment Agency UK | JobContax","Jobcontax is a specialist Life Sciences recruitment agency with operations in the UK",,NULL,"Life Sciences Recruitment Agency UK","JobContax is a specialist recruitment company in the Life Sciences sector.<br>
JobContax has recruited for Life Sciences companies in the UK since 2001.<br>
JobContax clients include Amec, Amgen, BHP Billiton, Carillion, Coca Cola, Emaar, GSK, Habtoor Leighton, Intel, Jacobs Engineering, J&J, Pfizer, Saint Gobain, Shell and many more.<br>",,,,,,,,,
