"id","salesforce","featured","page_title","meta_description","meta_keywords","image","paragraph","paragraph2","paragraph3","paragraph4","paragraph5","paragraph6","paragraph7","paragraph8","paragraph9","paragraph10"
"11","business-analytics-jobs",,"Business Analytics Jobs | Data Analytics Jobs | JobContax"," JobContax Recruitment - Business Analytics Jobs in Ireland and worldwide. To Apply for Business Analytics Jobs visit our website or call +353-1-7978730","Business Analytics Jobs, Data Analytics Jobs",,"JobContax is a technical recruitment agency which specialises in Business Analytics Jobs.<br> JobContax recruits for leading EPCm's, engineering companies, contractors, developers and consulting engineers in Ireland, UK, Europe, UAE, Qatar, Saudi Arabia, Egypt, Canada, Australia, China and India.<br> Clients include Amec, BHP Billiton, Carillion, Emaar, Habtoor Leighton, Intel, Jacobs Engineering, Shell and many more.<br> If none of our current jobs match your experience, email your CV/Resume to cv@jobcontax.com, and we will contact you when relevalant jobs open.",,,,,,,,,
"12","business-development-jobs",,"Business Development Jobs | BD Jobs | JobContax"," JobContax Recruitment - Business Development Jobs in Ireland and worldwide. To Apply for Business Development Jobs visit our website or call +353-1-7978731","Business Development Jobs, BD Jobs",,"JobContax is a technical recruitment agency which specialises in Business Development Jobs.<br> JobContax recruits for leading EPCm's, engineering companies, contractors, developers and consulting engineers in Ireland, UK, Europe, UAE, Qatar, Saudi Arabia, Egypt, Canada, Australia, China and India.<br> Clients include Amec, BHP Billiton, Carillion, Emaar, Habtoor Leighton, Intel, Jacobs Engineering, Shell and many more.<br> If none of our current jobs match your experience, email your CV/Resume to cv@jobcontax.com, and we will contact you when relevalant jobs open.",,,,,,,,,
"13","cad-jobs",,"CAD Jobs | AUTOCAD Jobs | CAD Design Jobs | JobContax"," JobContax Recruitment - CAD Jobs in Ireland and worldwide. To Apply for CAD Jobs visit our website or call +353-1-7978732","CAD Jobs, AUTOCAD Jobs, CAD Design Jobs",,"JobContax is a technical recruitment agency which specialises in CAD Jobs.<br> JobContax recruits for leading EPCm's, engineering companies, contractors, developers and consulting engineers in Ireland, UK, Europe, UAE, Qatar, Saudi Arabia, Egypt, Canada, Australia, China and India.<br> Clients include Amec, BHP Billiton, Carillion, Emaar, Habtoor Leighton, Intel, Jacobs Engineering, Shell and many more.<br> If none of our current jobs match your experience, email your CV/Resume to cv@jobcontax.com, and we will contact you when relevalant jobs open.",,,,,,,,,
"14","chemical-engineer-jobs",,"Chemical Engineer Jobs | Process Engineer Jobs | JobContax"," JobContax Recruitment - Chemical Engineer Jobs in Ireland and worldwide. To Apply for Chemical Engineer Jobs visit our website or call +353-1-7978733","Chemical Engineer Jobs, Process Engineer Jobs",,"JobContax is a technical recruitment agency which specialises in Chemical Engineer Jobs.<br> JobContax recruits for leading EPCm's, engineering companies, contractors, developers and consulting engineers in Ireland, UK, Europe, UAE, Qatar, Saudi Arabia, Egypt, Canada, Australia, China and India.<br> Clients include Amec, BHP Billiton, Carillion, Emaar, Habtoor Leighton, Intel, Jacobs Engineering, Shell and many more.<br> If none of our current jobs match your experience, email your CV/Resume to cv@jobcontax.com, and we will contact you when relevalant jobs open.",,,,,,,,,
"15","chinese-language-jobs",,"Chinese Language Jobs | Mandarin Language Jobs | JobContax"," JobContax Recruitment - Chinese Language Jobs in Ireland and worldwide. To Apply for Chinese Language Jobs visit our website or call +353-1-7978734","Chinese Language Jobs, Mandarin Language Jobs",,"JobContax is a technical recruitment agency which specialises in Chinese Language Jobs.<br> JobContax recruits for leading EPCm's, engineering companies, contractors, developers and consulting engineers in Ireland, UK, Europe, UAE, Qatar, Saudi Arabia, Egypt, Canada, Australia, China and India.<br> Clients include Amec, BHP Billiton, Carillion, Emaar, Habtoor Leighton, Intel, Jacobs Engineering, Shell and many more.<br> If none of our current jobs match your experience, email your CV/Resume to cv@jobcontax.com, and we will contact you when relevalant jobs open.",,,,,,,,,
"16","civil-engineer-jobs",,"Civil Engineer Jobs | Civil Engineering Jobs | JobContax"," JobContax Recruitment - Civil Engineer Jobs in Ireland and worldwide. To Apply for Civil Engineer Jobs visit our website or call +353-1-7978735","Civil Engineer Jobs, Civil Engineering Jobs",,"JobContax is a technical recruitment agency which specialises in Civil Engineer Jobs.<br> JobContax recruits for leading EPCm's, engineering companies, contractors, developers and consulting engineers in Ireland, UK, Europe, UAE, Qatar, Saudi Arabia, Egypt, Canada, Australia, China and India.<br> Clients include Amec, BHP Billiton, Carillion, Emaar, Habtoor Leighton, Intel, Jacobs Engineering, Shell and many more.<br> If none of our current jobs match your experience, email your CV/Resume to cv@jobcontax.com, and we will contact you when relevalant jobs open.",,,,,,,,,
"17","cnc-toolmaker-jobs",,"CNC Jobs | Toolmaker Jobs | CNC Machinist Jobs | JobContax"," JobContax Recruitment - CNC Jobs in Ireland and worldwide. To Apply for CNC Jobs visit our website or call +353-1-7978736","CNC Jobs, Toolmaker Jobs, CNC Machinist Jobs",,"JobContax is a technical recruitment agency which specialises in CNC - Toolmaker Jobs.<br> JobContax recruits for leading EPCm's, engineering companies, contractors, developers and consulting engineers in Ireland, UK, Europe, UAE, Qatar, Saudi Arabia, Egypt, Canada, Australia, China and India.<br> Clients include: Amgen, Coca Cola, Diageo, Genzyme, GSK, Intel, Jacobs Engineering, J&J, Novartis, Pfizer and many more.<br> If none of our current jobs match your experience, email your CV/Resume to cv@jobcontax.com, and we will contact you when relevalant jobs open.",,,,,,,,,
"18","commercial-manager-jobs",,"Commercial Manager Jobs | Commercial Jobs | JobContax"," JobContax Recruitment - Commercial Manager Jobs in Ireland and worldwide. To Apply for Commercial Manager Jobs visit our website or call +353-1-7978737","Commercial Manager Jobs, Commercial Jobs",,"JobContax is a technical recruitment agency which specialises in Commercial Manager Jobs.<br> JobContax recruits for leading EPCm's, engineering companies, contractors, developers and consulting engineers in Ireland, UK, Europe, UAE, Qatar, Saudi Arabia, Egypt, Canada, Australia, China and India.<br> Clients include Amec, BHP Billiton, Carillion, Emaar, Habtoor Leighton, Intel, Jacobs Engineering, Shell and many more.<br> If none of our current jobs match your experience, email your CV/Resume to cv@jobcontax.com, and we will contact you when relevalant jobs open.",,,,,,,,,
"19","commissioning-engineer-jobs",,"Commissioning Engineer Jobs | Commissioning Jobs | JobContax"," JobContax Recruitment - Commissioning Engineer Jobs in Ireland and worldwide. To Apply for Commissioning Engineer Jobs visit our website or call +353-1-7978738","Commissioning Engineer Jobs, Commissioning Jobs",,"JobContax is a technical recruitment agency which specialises in Commissioning Engineer Jobs.<br> JobContax recruits for leading EPCm's, engineering companies, contractors, developers and consulting engineers in Ireland, UK, Europe, UAE, Qatar, Saudi Arabia, Egypt, Canada, Australia, China and India.<br> Clients include: Amgen, Coca Cola, Diageo, Genzyme, GSK, Intel, Jacobs Engineering, J&J, Novartis, Pfizer and many more.<br> If none of our current jobs match your experience, email your CV/Resume to cv@jobcontax.com, and we will contact you when relevalant jobs open.",,,,,,,,,
"20","commissioning-jobs",,"Commissioning Jobs | Qualification Jobs | JobContax"," JobContax Recruitment - Commissioning Jobs in Ireland and worldwide. To Apply for Commissioning Jobs visit our website or call +353-1-7978739","Commissioning Jobs, Qualification Jobs",,"JobContax is a technical recruitment agency which specialises in Commissioning Jobs.<br> JobContax recruits for leading EPCm's, engineering companies, contractors, developers and consulting engineers in Ireland, UK, Europe, UAE, Qatar, Saudi Arabia, Egypt, Canada, Australia, China and India.<br> Clients include: Amgen, Coca Cola, Diageo, Genzyme, GSK, Intel, Jacobs Engineering, J&J, Novartis, Pfizer and many more.<br> If none of our current jobs match your experience, email your CV/Resume to cv@jobcontax.com, and we will contact you when relevalant jobs open.",,,,,,,,,
"21","computer-systems-validation-csv-jobs",,"CSV Jobs | Computer Systems Validation Jobs | JobContax"," JobContax Recruitment - CSV Jobs in Ireland and worldwide. To Apply for CSV Jobs visit our website or call +353-1-7978740","CSV Jobs, Computer Systems Validation Jobs",,"JobContax is a technical recruitment agency which specialises in Computer Systems Validation - CSV Jobs.<br> JobContax recruits for leading EPCm's, engineering companies, contractors, developers and consulting engineers in Ireland, UK, Europe, UAE, Qatar, Saudi Arabia, Egypt, Canada, Australia, China and India.<br> Clients include: Amgen, Coca Cola, Diageo, Genzyme, GSK, Intel, Jacobs Engineering, J&J, Novartis, Pfizer and many more.<br> If none of our current jobs match your experience, email your CV/Resume to cv@jobcontax.com, and we will contact you when relevalant jobs open.",,,,,,,,,
"22","construction-foreman-jobs",,"Construction Foreman Jobs | Foreman Jobs | JobContax"," JobContax Recruitment - Construction Foreman Jobs in Ireland and worldwide. To Apply for Construction Foreman Jobs visit our website or call +353-1-7978741","Construction Foreman Jobs, Foreman Jobs",,"JobContax is a technical recruitment agency which specialises in Construction Foreman Jobs.<br> JobContax recruits for leading EPCm's, engineering companies, contractors, developers and consulting engineers in Ireland, UK, Europe, UAE, Qatar, Saudi Arabia, Egypt, Canada, Australia, China and India.<br> Clients include Amec, BHP Billiton, Carillion, Emaar, Habtoor Leighton, Intel, Jacobs Engineering, Shell and many more.<br> If none of our current jobs match your experience, email your CV/Resume to cv@jobcontax.com, and we will contact you when relevalant jobs open.",,,,,,,,,
"23","construction-jobs",,"Construction Jobs | Construction Jobs Ireland | JobContax"," JobContax Recruitment - Construction Jobs in Ireland and worldwide. To Apply for Construction Jobs visit our website or call +353-1-7978742","Construction Jobs, Construction Jobs Ireland",,"JobContax is a technical recruitment agency which specialises in Construction Jobs.<br> JobContax recruits for leading EPCm's, engineering companies, contractors, developers and consulting engineers in Ireland, UK, Europe, UAE, Qatar, Saudi Arabia, Egypt, Canada, Australia, China and India.<br> Clients include Amec, BHP Billiton, Carillion, Emaar, Habtoor Leighton, Intel, Jacobs Engineering, Shell and many more.<br> If none of our current jobs match your experience, email your CV/Resume to cv@jobcontax.com, and we will contact you when relevalant jobs open.",,,,,,,,,
"24","construction-manager-jobs",,"Construction Manager Jobs | Construction Manager | JobContax"," JobContax Recruitment - Construction Manager Jobs in Ireland and worldwide. To Apply for Construction Manager Jobs visit our website or call +353-1-7978743","Construction Manager Jobs, Construction Manager",,"JobContax is a technical recruitment agency which specialises in Construction Manager Jobs.<br> JobContax recruits for leading EPCm's, engineering companies, contractors, developers and consulting engineers in Ireland, UK, Europe, UAE, Qatar, Saudi Arabia, Egypt, Canada, Australia, China and India.<br> Clients include Amec, BHP Billiton, Carillion, Emaar, Habtoor Leighton, Intel, Jacobs Engineering, Shell and many more.<br> If none of our current jobs match your experience, email your CV/Resume to cv@jobcontax.com, and we will contact you when relevalant jobs open.",,,,,,,,,
"25","contracts-manager-jobs",,"Contracts Manager Jobs | Contracts Jobs | JobContax"," JobContax Recruitment - Contracts Manager Jobs in Ireland and worldwide. To Apply for Contracts Manager Jobs visit our website or call +353-1-7978744","Contracts Manager Jobs, Contracts Jobs",,"JobContax is a technical recruitment agency which specialises in Contracts Manager Jobs.<br> JobContax recruits for leading EPCm's, engineering companies, contractors, developers and consulting engineers in Ireland, UK, Europe, UAE, Qatar, Saudi Arabia, Egypt, Canada, Australia, China and India.<br> Clients include Amec, BHP Billiton, Carillion, Emaar, Habtoor Leighton, Intel, Jacobs Engineering, Shell and many more.<br> If none of our current jobs match your experience, email your CV/Resume to cv@jobcontax.com, and we will contact you when relevalant jobs open.",,,,,,,,,
"26","cost-engineer-jobs",,"Cost Engineer Jobs | Cost Engineering Jobs | JobContax"," JobContax Recruitment - Cost Engineer Jobs in Ireland and worldwide. To Apply for Cost Engineer Jobs visit our website or call +353-1-7978745","Cost Engineer Jobs, Cost Engineering Jobs",,"JobContax is a technical recruitment agency which specialises in Cost Engineer Jobs.<br> JobContax recruits for leading EPCm's, engineering companies, contractors, developers and consulting engineers in Ireland, UK, Europe, UAE, Qatar, Saudi Arabia, Egypt, Canada, Australia, China and India.<br> Clients include Amec, BHP Billiton, Carillion, Emaar, Habtoor Leighton, Intel, Jacobs Engineering, Shell and many more.<br> If none of our current jobs match your experience, email your CV/Resume to cv@jobcontax.com, and we will contact you when relevalant jobs open.",,,,,,,,,
"27","cqv-cq-jobs",,"CQV Jobs | C&Q Jobs | CQV Engineer Jobs | JobContax"," JobContax Recruitment - CQV Jobs in Ireland and worldwide. To Apply for CQV Jobs visit our website or call +353-1-7978746","CQV Jobs, C&Q Jobs, CQV Engineer Jobs",,"JobContax is a technical recruitment agency which specialises in CQV - C&Q Jobs.<br> JobContax recruits for leading EPCm's, engineering companies, contractors, developers and consulting engineers in Ireland, UK, Europe, UAE, Qatar, Saudi Arabia, Egypt, Canada, Australia, China and India.<br> Clients include: Amgen, Coca Cola, Diageo, Genzyme, GSK, Intel, Jacobs Engineering, J&J, Novartis, Pfizer and many more.<br> If none of our current jobs match your experience, email your CV/Resume to cv@jobcontax.com, and we will contact you when relevalant jobs open.",,,,,,,,,
"28","design-engineer-jobs",,"Design Engineer Jobs | Design Jobs | JobContax"," JobContax Recruitment - Design Engineer Jobs in Ireland and worldwide. To Apply for Design Engineer Jobs visit our website or call +353-1-7978747","Design Engineer Jobs, Design Jobs",,"JobContax is a technical recruitment agency which specialises in Design Engineer Jobs.<br> JobContax recruits for leading EPCm's, engineering companies, contractors, developers and consulting engineers in Ireland, UK, Europe, UAE, Qatar, Saudi Arabia, Egypt, Canada, Australia, China and India.<br> Clients include Amec, BHP Billiton, Carillion, Emaar, Habtoor Leighton, Intel, Jacobs Engineering, Shell and many more.<br> If none of our current jobs match your experience, email your CV/Resume to cv@jobcontax.com, and we will contact you when relevalant jobs open.",,,,,,,,,
"29","design-manager-jobs",,"Design Manager Jobs | Design Manager Ireland | JobContax"," JobContax Recruitment - Design Manager Jobs in Ireland and worldwide. To Apply for Design Manager Jobs visit our website or call +353-1-7978748","Design Manager Jobs, Design Manager Ireland",,"JobContax is a technical recruitment agency which specialises in Design Manager Jobs.<br> JobContax recruits for leading EPCm's, engineering companies, contractors, developers and consulting engineers in Ireland, UK, Europe, UAE, Qatar, Saudi Arabia, Egypt, Canada, Australia, China and India.<br> Clients include Amec, BHP Billiton, Carillion, Emaar, Habtoor Leighton, Intel, Jacobs Engineering, Shell and many more.<br> If none of our current jobs match your experience, email your CV/Resume to cv@jobcontax.com, and we will contact you when relevalant jobs open.",,,,,,,,,
"30","director-jobs",,"Director Jobs | Director Jobs Ireland | JobContax"," JobContax Recruitment - Director Jobs in Ireland and worldwide. To Apply for Director Jobs visit our website or call +353-1-7978749","Director Jobs, Director Jobs Ireland",,"JobContax is a technical recruitment agency which specialises in Director Jobs.<br> JobContax recruits for leading EPCm's, engineering companies, contractors, developers and consulting engineers in Ireland, UK, Europe, UAE, Qatar, Saudi Arabia, Egypt, Canada, Australia, China and India.<br> Clients include Amec, BHP Billiton, Carillion, Emaar, Habtoor Leighton, Intel, Jacobs Engineering, Shell and many more.<br> If none of our current jobs match your experience, email your CV/Resume to cv@jobcontax.com, and we will contact you when relevalant jobs open.",,,,,,,,,
"31","distribution-lineman-jobs",,"Distribution Lineman Jobs | Distribution Jobs | JobContax"," JobContax Recruitment - Distribution Lineman Jobs in Ireland and worldwide. To Apply for Distribution Lineman Jobs visit our website or call +353-1-7978750","Distribution Lineman Jobs, Distribution Jobs",,"JobContax is a technical recruitment agency which specialises in Distribution Lineman Jobs.<br> JobContax recruits for leading EPCm's, engineering companies, contractors, developers and consulting engineers in Ireland, UK, Europe, UAE, Qatar, Saudi Arabia, Egypt, Canada, Australia, China and India.<br> Clients include Amec, BHP Billiton, Carillion, Emaar, Habtoor Leighton, Intel, Jacobs Engineering, Shell and many more.<br> If none of our current jobs match your experience, email your CV/Resume to cv@jobcontax.com, and we will contact you when relevalant jobs open.",,,,,,,,,
"32","document-control-jobs",,"Document Control Jobs | Document Controller Jobs | JobContax"," JobContax Recruitment - Document Control Jobs in Ireland and worldwide. To Apply for Document Control Jobs visit our website or call +353-1-7978751","Document Control Jobs, Document Controller Jobs",,"JobContax is a technical recruitment agency which specialises in Document Control Jobs.<br> JobContax recruits for leading EPCm's, engineering companies, contractors, developers and consulting engineers in Ireland, UK, Europe, UAE, Qatar, Saudi Arabia, Egypt, Canada, Australia, China and India.<br> Clients include Amec, BHP Billiton, Carillion, Emaar, Habtoor Leighton, Intel, Jacobs Engineering, Shell and many more.<br> If none of our current jobs match your experience, email your CV/Resume to cv@jobcontax.com, and we will contact you when relevalant jobs open.",,,,,,,,,
"33","ei-engineer-jobs",,"E&I Engineer Jobs | Instrumentation Jobs | JobContax"," JobContax Recruitment - E&I Engineer Jobs in Ireland and worldwide. To Apply for E&I Engineer Jobs visit our website or call +353-1-7978752","E&I Engineer Jobs, Instrumentation Jobs",,"JobContax is a technical recruitment agency which specialises in E&I Engineer Jobs.<br> JobContax recruits for leading EPCm's, engineering companies, contractors, developers and consulting engineers in Ireland, UK, Europe, UAE, Qatar, Saudi Arabia, Egypt, Canada, Australia, China and India.<br> Clients include Amec, BHP Billiton, Carillion, Emaar, Habtoor Leighton, Intel, Jacobs Engineering, Shell and many more.<br> If none of our current jobs match your experience, email your CV/Resume to cv@jobcontax.com, and we will contact you when relevalant jobs open.",,,,,,,,,
"34","electrical-engineer-jobs",,"Electrical Engineer Jobs | Electrical Design Jobs | JobContax"," JobContax Recruitment - Electrical Engineer Jobs in Ireland and worldwide. To Apply for Electrical Engineer Jobs visit our website or call +353-1-7978753","Electrical Engineer Jobs, Electrical Design Jobs",,"JobContax is a technical recruitment agency which specialises in Electrical Engineer Jobs.<br> JobContax recruits for leading EPCm's, engineering companies, contractors, developers and consulting engineers in Ireland, UK, Europe, UAE, Qatar, Saudi Arabia, Egypt, Canada, Australia, China and India.<br> Clients include Amec, BHP Billiton, Carillion, Emaar, Habtoor Leighton, Intel, Jacobs Engineering, Shell and many more.<br> If none of our current jobs match your experience, email your CV/Resume to cv@jobcontax.com, and we will contact you when relevalant jobs open.",,,,,,,,,
"35","energy-jobs",,"Energy Jobs | Power Jobs | Electricity Jobs | JobContax"," JobContax Recruitment - Energy Jobs in Ireland and worldwide. To Apply for Energy Jobs visit our website or call +353-1-7978754","Energy Jobs, Power Jobs, Electricity Jobs",,"JobContax is a technical recruitment agency which specialises in Energy Jobs.<br> JobContax recruits for leading EPCm's, engineering companies, contractors, developers and consulting engineers in Ireland, UK, Europe, UAE, Qatar, Saudi Arabia, Egypt, Canada, Australia, China and India.<br> Clients include Amec, BHP Billiton, Carillion, Emaar, Habtoor Leighton, Intel, Jacobs Engineering, Shell and many more.<br> If none of our current jobs match your experience, email your CV/Resume to cv@jobcontax.com, and we will contact you when relevalant jobs open.",,,,,,,,,
"36","engineering-jobs",,"Engineering Jobs | Engineering Jobs Ireland | JobContax"," JobContax Recruitment - Engineering Jobs in Ireland and worldwide. To Apply for Engineering Jobs visit our website or call +353-1-7978755","Engineering Jobs, Engineering Jobs Ireland",,"JobContax is a technical recruitment agency which specialises in Engineering Jobs.<br> JobContax recruits for leading EPCm's, engineering companies, contractors, developers and consulting engineers in Ireland, UK, Europe, UAE, Qatar, Saudi Arabia, Egypt, Canada, Australia, China and India.<br> Clients include Amec, BHP Billiton, Carillion, Emaar, Habtoor Leighton, Intel, Jacobs Engineering, Shell and many more.<br> If none of our current jobs match your experience, email your CV/Resume to cv@jobcontax.com, and we will contact you when relevalant jobs open.",,,,,,,,,
"37","engineering-manager-jobs",,"Engineering Manager Jobs | Senior Engineer Jobs | JobContax"," JobContax Recruitment - Engineering Manager Jobs in Ireland and worldwide. To Apply for Engineering Manager Jobs visit our website or call +353-1-7978756","Engineering Manager Jobs, Senior Engineer Jobs",,"JobContax is a technical recruitment agency which specialises in Engineering Manager Jobs.<br> JobContax recruits for leading EPCm's, engineering companies, contractors, developers and consulting engineers in Ireland, UK, Europe, UAE, Qatar, Saudi Arabia, Egypt, Canada, Australia, China and India.<br> Clients include Amec, BHP Billiton, Carillion, Emaar, Habtoor Leighton, Intel, Jacobs Engineering, Shell and many more.<br> If none of our current jobs match your experience, email your CV/Resume to cv@jobcontax.com, and we will contact you when relevalant jobs open.",,,,,,,,,
"38","environmental-jobs",,"Environmental Jobs | Environmental Officer Jobs | JobContax"," JobContax Recruitment - Environmental Jobs in Ireland and worldwide. To Apply for Environmental Jobs visit our website or call +353-1-7978757","Environmental Jobs, Environmental Officer Jobs",,"JobContax is a technical recruitment agency which specialises in Environmental Jobs.<br> JobContax recruits for leading EPCm's, engineering companies, contractors, developers and consulting engineers in Ireland, UK, Europe, UAE, Qatar, Saudi Arabia, Egypt, Canada, Australia, China and India.<br> Clients include Amec, BHP Billiton, Carillion, Emaar, Habtoor Leighton, Intel, Jacobs Engineering, Shell and many more.<br> If none of our current jobs match your experience, email your CV/Resume to cv@jobcontax.com, and we will contact you when relevalant jobs open.",,,,,,,,,
